,Date,Start1,Start2,W/L,End1,End2
0,2014-11-03,2014-11-03 19:00:00,2014-11-03 19:30:00,W,2014-11-03 21:45:00,2014-11-03 22:15:00
1,2014-11-05,2014-11-05 19:00:00,2014-11-05 19:30:00,L,2014-11-05 21:45:00,2014-11-05 22:15:00
2,2014-11-07,2014-11-07 19:00:00,2014-11-07 19:30:00,W,2014-11-07 21:45:00,2014-11-07 22:15:00
3,2014-11-09,2014-11-09 15:00:00,2014-11-09 15:30:00,W,2014-11-09 17:45:00,2014-11-09 18:15:00
4,2014-11-17,2014-11-17 19:00:00,2014-11-17 19:30:00,L,2014-11-17 21:45:00,2014-11-17 22:15:00
5,2014-11-19,2014-11-19 19:00:00,2014-11-19 19:30:00,L,2014-11-19 21:45:00,2014-11-19 22:15:00
6,2014-11-30,2014-11-30 14:30:00,2014-11-30 15:00:00,L,2014-11-30 17:15:00,2014-11-30 17:45:00
7,2014-12-03,2014-12-03 19:00:00,2014-12-03 19:30:00,W,2014-12-03 21:45:00,2014-12-03 22:15:00
8,2014-12-05,2014-12-05 19:00:00,2014-12-05 19:30:00,L,2014-12-05 21:45:00,2014-12-05 22:15:00
9,2014-12-08,2014-12-08 19:00:00,2014-12-08 19:30:00,L,2014-12-08 21:45:00,2014-12-08 22:15:00
10,2014-12-12,2014-12-12 19:00:00,2014-12-12 19:30:00,W,2014-12-12 21:45:00,2014-12-12 22:15:00
11,2014-12-16,2014-12-16 19:00:00,2014-12-16 19:30:00,L,2014-12-16 21:45:00,2014-12-16 22:15:00
12,2014-12-21,2014-12-21 17:30:00,2014-12-21 18:00:00,W,2014-12-21 20:15:00,2014-12-21 20:45:00
13,2014-12-23,2014-12-23 19:00:00,2014-12-23 19:30:00,W,2014-12-23 21:45:00,2014-12-23 22:15:00
14,2014-12-27,2014-12-27 19:30:00,2014-12-27 20:00:00,L,2014-12-27 22:15:00,2014-12-27 22:45:00
15,2014-12-29,2014-12-29 19:00:00,2014-12-29 19:30:00,W,2014-12-29 21:45:00,2014-12-29 22:15:00
16,2015-01-05,2015-01-05 19:00:00,2015-01-05 19:30:00,L,2015-01-05 21:45:00,2015-01-05 22:15:00
17,2015-01-07,2015-01-07 19:00:00,2015-01-07 19:30:00,L,2015-01-07 21:45:00,2015-01-07 22:15:00
18,2015-01-09,2015-01-09 19:00:00,2015-01-09 19:30:00,L,2015-01-09 21:45:00,2015-01-09 22:15:00
19,2015-01-12,2015-01-12 19:00:00,2015-01-12 19:30:00,L,2015-01-12 21:45:00,2015-01-12 22:15:00
20,2015-01-14,2015-01-14 19:00:00,2015-01-14 19:30:00,L,2015-01-14 21:45:00,2015-01-14 22:15:00
21,2015-01-17,2015-01-17 19:30:00,2015-01-17 20:00:00,L,2015-01-17 22:15:00,2015-01-17 22:45:00
22,2015-01-30,2015-01-30 19:00:00,2015-01-30 19:30:00,L,2015-01-30 21:45:00,2015-01-30 22:15:00
23,2015-02-02,2015-02-02 19:00:00,2015-02-02 19:30:00,W,2015-02-02 21:45:00,2015-02-02 22:15:00
24,2015-02-06,2015-02-06 18:30:00,2015-02-06 19:00:00,W,2015-02-06 21:15:00,2015-02-06 21:45:00
25,2015-03-02,2015-03-02 19:00:00,2015-03-02 19:30:00,W,2015-03-02 21:45:00,2015-03-02 22:15:00
26,2015-03-04,2015-03-04 19:00:00,2015-03-04 19:30:00,L,2015-03-04 21:45:00,2015-03-04 22:15:00
27,2015-03-06,2015-03-06 19:30:00,2015-03-06 20:00:00,L,2015-03-06 22:15:00,2015-03-06 22:45:00
28,2015-03-08,2015-03-08 17:30:00,2015-03-08 18:00:00,L,2015-03-08 20:15:00,2015-03-08 20:45:00
29,2015-03-10,2015-03-10 19:00:00,2015-03-10 19:30:00,L,2015-03-10 21:45:00,2015-03-10 22:15:00
30,2015-03-20,2015-03-20 19:00:00,2015-03-20 19:30:00,W,2015-03-20 21:45:00,2015-03-20 22:15:00
31,2015-03-23,2015-03-23 19:00:00,2015-03-23 19:30:00,L,2015-03-23 21:45:00,2015-03-23 22:15:00
32,2015-03-27,2015-03-27 19:00:00,2015-03-27 19:30:00,W,2015-03-27 21:45:00,2015-03-27 22:15:00
33,2015-03-29,2015-03-29 15:00:00,2015-03-29 15:30:00,W,2015-03-29 17:45:00,2015-03-29 18:15:00
34,2015-03-31,2015-03-31 19:00:00,2015-03-31 19:30:00,W,2015-03-31 21:45:00,2015-03-31 22:15:00
35,2015-04-03,2015-04-03 19:00:00,2015-04-03 19:30:00,W,2015-04-03 21:45:00,2015-04-03 22:15:00
36,2015-04-06,2015-04-06 18:30:00,2015-04-06 19:00:00,W,2015-04-06 21:15:00,2015-04-06 21:45:00
37,2015-04-08,2015-04-08 19:00:00,2015-04-08 19:30:00,L,2015-04-08 21:45:00,2015-04-08 22:15:00
38,2015-04-10,2015-04-10 19:00:00,2015-04-10 19:30:00,W,2015-04-10 21:45:00,2015-04-10 22:15:00
39,2015-04-13,2015-04-13 19:00:00,2015-04-13 19:30:00,L,2015-04-13 21:45:00,2015-04-13 22:15:00
40,2015-04-15,2015-04-15 19:30:00,2015-04-15 20:00:00,W,2015-04-15 22:15:00,2015-04-15 22:45:00